P,t,iter,vx,vy,pen_factor,v_mag,vel_mag_in,v_coll,v_ang,imomx,imomy,imom,tot_area,cur_area,area_diff,vx_rel,vy_rel,v_rel,col_acc_x,col_acc_y,col_acc_mag
1,0.2850,95,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2880,96,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2910,97,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2940,98,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.2970,99,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3000,100,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3030,101,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3060,102,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3090,103,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3120,104,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3150,105,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3180,106,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3210,107,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3240,108,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3270,109,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3300,110,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3330,111,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3360,112,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.3390,113,0.5000,-0.5000,0.00000000,0.70710678,0.70710678,0.0000,5.4978,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
